"","sparsity","screening","avg_bmin"
"1",1,1,1
"2",3,1,1
"3",5,1,1
"4",7,1,1
"5",9,1,1
"6",11,1,1
"7",13,1,1
"8",15,0.99,1
"9",17,0.99,1
"10",19,0.99,1
"11",21,0.965,1
"12",23,0.935,1
"13",25,0.825,1
"14",27,0.78,1
"15",29,0.6,1
"16",31,0.47,1
