"","screened","mse","beta_min"
"1",TRUE,0.00209986952728232,0.871048470027745
"2",FALSE,0.00201845582389569,0.0128258056938648
"3",FALSE,0.00198774180069252,0.00815262272953987
"4",TRUE,0.00322774790479174,0.963045233860612
"5",FALSE,0.00200044940256565,0.00636435393244028
"6",TRUE,0.00140095718352176,0.597323129884899
"7",TRUE,0.00432303890478168,0.323338684625924
"8",TRUE,0.00167841747950871,0.483512022532523
"9",TRUE,0.000889842094630948,0.585722612217069
"10",TRUE,0.000966912643333015,0.659205752424896
"11",TRUE,0.00174786322894048,0.179752290248871
"12",TRUE,0.00300088844391387,1.09261479601264
"13",TRUE,0.00342225382687578,0.773875770159066
"14",FALSE,0.00133687768108133,0.0466166529804468
"15",FALSE,0.000924760125537371,0.127219348214567
"16",TRUE,0.00319367708567173,0.36360071413219
"17",TRUE,0.00179569978685252,0.458089774474502
"18",TRUE,0.00205374171797884,0.439073414541781
"19",FALSE,0.00242021831051216,0.0601235264912248
"20",TRUE,0.00294029647708503,0.754790809005499
"21",TRUE,0.0031741927624404,0.419075536541641
"22",FALSE,0.00309111047184365,0.374420961365104
"23",TRUE,0.00345924874522301,1.00727190449834
"24",TRUE,0.0045437351017706,0.213908301666379
"25",FALSE,0.00223629330090034,0.267803978174925
"26",FALSE,0.00171919533946699,0.0792464157566428
"27",FALSE,0.00142994474671084,0.204298608936369
"28",TRUE,0.00304766964194499,0.800643063150346
"29",TRUE,0.00264825013450382,0.619388181716204
"30",FALSE,0.00454897412792113,0.020150781609118
"31",FALSE,0.00235728815209165,0.180001502856612
"32",FALSE,0.00267175986957558,0.140599184669554
"33",TRUE,0.00531844645179599,0.528317242860794
"34",FALSE,0.0028515468361728,0.252859097905457
"35",FALSE,0.00290453233863819,0.0934150414541364
"36",FALSE,0.00205856780621394,0.204674989916384
"37",FALSE,0.00164256946510176,0.300307321362197
"38",TRUE,0.00256357841945585,0.191665916703641
"39",FALSE,0.00172721166940157,0.256275071762502
"40",FALSE,0.00313755967394524,0.23656642716378
"41",TRUE,0.00197563978562789,0.753190821036696
"42",FALSE,0.00405102167846085,0.231203333474696
"43",TRUE,0.00100533177672736,0.389431060291827
"44",TRUE,0.00254251465777829,0.737965293228626
"45",FALSE,0.00315244701910809,0.11223244573921
"46",FALSE,0.00331590289321486,0.0324704190716147
"47",TRUE,0.00228190956383788,0.369411341845989
"48",TRUE,0.00180342368453248,0.423964884132147
"49",TRUE,0.00332470000038457,0.490762205794454
"50",FALSE,0.000996612100897523,0.110360992141068
"51",TRUE,0.00213259504843866,0.724393664859235
"52",FALSE,0.0031187144541211,0.00679781101644039
"53",FALSE,0.00217652958671434,0.00341773312538862
"54",TRUE,0.00348513587222381,0.481175009161234
"55",FALSE,0.00181985446065649,0.0266318945214152
"56",FALSE,0.00144161814743987,0.129830500110984
"57",TRUE,0.00354713506073622,0.423790181055665
"58",FALSE,0.00196327613064312,0.0500437477603555
"59",FALSE,0.00189059025219697,0.139985169284046
"60",FALSE,0.00437979297162377,0.430870869196951
"61",TRUE,0.00129437551107943,0.253192937001586
"62",FALSE,0.00160887709480327,0.0108376238495111
"63",TRUE,0.00294984604602364,0.68452110979706
"64",TRUE,0.00119680877466346,0.339214758016169
"65",FALSE,0.00248953839451527,0.132336952723563
"66",TRUE,0.00112720488936741,0.568849492818117
"67",TRUE,0.00377147555711894,0.397638002410531
"68",TRUE,0.00268447122718877,0.429531739093363
"69",TRUE,0.00394484698773963,1.15545152965933
"70",TRUE,0.00230179918079157,0.362971883267164
"71",FALSE,0.00121382626463012,0.0227699112147093
"72",FALSE,0.00134729474382233,0.0957654239609838
"73",FALSE,0.00386571596241035,0.187295430339873
"74",FALSE,0.00340518869139109,0.0496163191273808
"75",FALSE,0.00127578586436424,0.0150479767471552
"76",FALSE,0.00228870005872442,0.0222912570461631
"77",FALSE,0.00199549398427193,0.169695449061692
"78",TRUE,0.00222983528232745,0.337164919823408
"79",TRUE,0.00258859703827858,0.289339360781014
"80",FALSE,0.00143122393565374,0.084684525616467
"81",FALSE,0.00124868932704964,0.114571191370487
"82",FALSE,0.00155624138678331,0.0352667337283492
"83",TRUE,0.00055045353059019,0.905551171861589
"84",FALSE,0.000680204659439937,0.102211693301797
"85",TRUE,0.00267273478965348,0.661855407059193
"86",FALSE,0.00210803303563063,0.279290773905814
"87",FALSE,0.00150957434784882,0.120622069574893
"88",FALSE,0.00187085136205755,0.0588316675275564
"89",TRUE,0.00151785582884573,0.995935336686671
"90",FALSE,0.00271989191661425,0.314321959391236
"91",FALSE,0.00213577532897558,0.139127070084214
"92",TRUE,0.00140071286455087,0.497521299868822
"93",TRUE,0.00146337950831423,0.21537765301764
"94",TRUE,0.00233243415118321,0.17636962980032
"95",TRUE,0.00225197128064715,0.490398168563843
"96",FALSE,0.00321620063780953,0.113420487381518
"97",TRUE,0.00121492381526171,0.323613995686173
"98",FALSE,0.00245541991629739,0.274881739169359
"99",TRUE,0.00168173938960219,0.9500184180215
"100",TRUE,0.00185141608563558,0.704758868552744
